,Point 0,Point 1,Point 2,Point 3,Point 4,Point 5,Point 6,Point 7,Point 8
0,69.55199999999999,75.348,72.036,77.832,94.392,73.692,77.832,77.00399999999999,96.87599999999999
1,69.55199999999999,75.348,72.036,77.832,94.392,73.692,77.832,77.00399999999999,96.87599999999999
2,69.55199999999999,75.348,72.036,77.832,94.392,73.692,77.832,77.00399999999999,96.87599999999999
3,69.55199999999999,75.348,72.036,77.832,94.392,73.692,77.832,77.00399999999999,96.87599999999999
4,69.55199999999999,75.348,72.036,77.832,94.392,73.692,77.832,77.00399999999999,96.87599999999999
5,69.55199999999999,75.348,72.036,77.832,94.392,73.692,77.832,77.00399999999999,96.87599999999999
6,69.55199999999999,75.348,72.036,77.832,94.392,73.692,77.832,77.00399999999999,96.87599999999999
7,69.55199999999999,75.348,72.036,77.832,94.392,73.692,77.832,77.00399999999999,96.87599999999999
8,69.55199999999999,75.348,72.036,77.832,94.392,73.692,77.832,77.00399999999999,96.87599999999999
9,67.068,67.896,72.86399999999999,81.972,84.45599999999999,89.42399999999999,72.036,77.00399999999999,92.73599999999999
10,67.068,67.896,72.86399999999999,81.972,84.45599999999999,89.42399999999999,72.036,77.00399999999999,92.73599999999999
11,78.66,57.959999999999994,63.756,73.692,81.14399999999999,81.972,72.036,83.628,92.73599999999999
12,78.66,57.959999999999994,63.756,73.692,81.14399999999999,81.972,72.036,83.628,92.73599999999999
13,92.73599999999999,58.788,55.476,63.756,71.208,83.628,87.768,78.66,91.908
14,92.73599999999999,58.788,55.476,63.756,71.208,83.628,87.768,78.66,91.908
15,96.048,50.507999999999996,55.476,56.303999999999995,68.72399999999999,77.832,91.08,78.66,96.048
16,96.048,50.507999999999996,55.476,56.303999999999995,68.72399999999999,77.832,91.08,78.66,96.048
17,96.048,50.507999999999996,55.476,56.303999999999995,68.72399999999999,77.832,91.08,78.66,96.048
18,96.048,50.507999999999996,55.476,56.303999999999995,68.72399999999999,77.832,91.08,78.66,96.048
19,94.392,53.82,54.647999999999996,60.443999999999996,67.896,72.036,84.45599999999999,94.392,105.15599999999999
20,94.392,53.82,54.647999999999996,60.443999999999996,67.896,72.036,84.45599999999999,94.392,105.15599999999999
21,97.704,72.036,55.476,57.959999999999994,60.443999999999996,67.068,86.112,110.952,134.136
22,97.704,72.036,55.476,57.959999999999994,60.443999999999996,67.068,86.112,110.952,134.136
23,83.628,86.112,53.82,57.132,58.788,71.208,91.08,123.372,143.244
24,83.628,86.112,53.82,57.132,58.788,71.208,91.08,123.372,143.244
25,77.00399999999999,79.488,60.443999999999996,57.959999999999994,61.272,70.38,89.42399999999999,134.136,195.408
26,77.00399999999999,79.488,60.443999999999996,57.959999999999994,61.272,70.38,89.42399999999999,134.136,195.408
27,77.00399999999999,79.488,60.443999999999996,57.959999999999994,61.272,70.38,89.42399999999999,134.136,195.408
28,75.348,83.628,77.00399999999999,57.132,59.616,72.036,90.252,128.34,158.976
29,75.348,83.628,77.00399999999999,57.132,59.616,72.036,90.252,128.34,158.976
30,75.348,83.628,77.00399999999999,57.132,59.616,72.036,90.252,128.34,158.976
31,79.488,79.488,72.036,51.336,58.788,70.38,84.45599999999999,126.684,161.45999999999998
32,79.488,79.488,72.036,51.336,58.788,70.38,84.45599999999999,126.684,161.45999999999998
33,65.41199999999999,70.38,77.832,79.488,64.584,81.972,106.812,124.19999999999999,152.352
34,65.41199999999999,70.38,77.832,79.488,64.584,81.972,106.812,124.19999999999999,152.352
35,67.896,76.176,77.00399999999999,85.28399999999999,72.036,75.348,105.15599999999999,127.512,134.136
36,67.896,76.176,77.00399999999999,85.28399999999999,72.036,75.348,105.15599999999999,127.512,134.136
37,68.72399999999999,74.52,79.488,91.908,105.15599999999999,77.832,104.32799999999999,87.768,118.404
38,68.72399999999999,74.52,79.488,91.908,105.15599999999999,77.832,104.32799999999999,87.768,118.404
39,64.584,70.38,71.208,93.564,114.264,81.972,101.01599999999999,93.564,112.60799999999999
40,64.584,70.38,71.208,93.564,114.264,81.972,101.01599999999999,93.564,112.60799999999999
41,64.584,70.38,71.208,93.564,114.264,81.972,101.01599999999999,93.564,112.60799999999999
42,64.584,70.38,71.208,93.564,114.264,81.972,101.01599999999999,93.564,112.60799999999999
43,65.41199999999999,70.38,67.896,92.73599999999999,122.544,80.316,92.73599999999999,95.22,110.124
44,65.41199999999999,70.38,67.896,92.73599999999999,122.544,80.316,92.73599999999999,95.22,110.124
45,68.72399999999999,63.756,88.59599999999999,90.252,116.74799999999999,99.36,100.18799999999999,88.59599999999999,101.844
46,68.72399999999999,63.756,88.59599999999999,90.252,116.74799999999999,99.36,100.18799999999999,88.59599999999999,101.844
47,65.41199999999999,68.72399999999999,85.28399999999999,94.392,111.78,110.952,91.908,86.112,95.22
48,65.41199999999999,68.72399999999999,85.28399999999999,94.392,111.78,110.952,91.908,86.112,95.22
49,65.41199999999999,73.692,84.45599999999999,95.22,102.672,114.264,86.112,86.94,89.42399999999999
50,65.41199999999999,73.692,84.45599999999999,95.22,102.672,114.264,86.112,86.94,89.42399999999999
51,65.41199999999999,73.692,84.45599999999999,95.22,102.672,114.264,86.112,86.94,89.42399999999999
52,75.348,74.52,87.768,92.73599999999999,101.01599999999999,109.29599999999999,84.45599999999999,81.972,82.8
53,75.348,74.52,87.768,92.73599999999999,101.01599999999999,109.29599999999999,84.45599999999999,81.972,82.8
54,75.348,74.52,87.768,92.73599999999999,101.01599999999999,109.29599999999999,84.45599999999999,81.972,82.8
